,0813title,0813code,webtoon_from_kor,author,ending_Y/N,주2회연재
182,Lalin's Curse,1601,,,,
183,Boyfriends.,2616,,,,
184,Suitor Armor,2159,,,,
185,I Love Yoo,986,,,,
186,Rooftops & Roommates,2576,,,,
187,The Makeup Remover,2186,,,,
188,Acception,1513,,,,
189,The God of High School,66,갓 오브 하이스쿨,박용제,N,318995
190,My Giant Nerd Boyfriend,958,,,,
191,Muted,1566,,,,
192,Hardcore Leveling Warrior,1221,열렙전사,김세훈,N,670152
193,Forever After,2699,,,,
194,The Gamer,88,더 게이머,성상영 / 상아,N,552960
195,Return of the Blossoming Blade,2849,,,,
196,Secret Playlist,2395,,,,
197,Dating With a Tail,1263,꼬리 있는 연애,진하/헤폰,Y,
198,So I Married the Anti-Fan,2739,그래서 나는 안티팬과 결혼했다,재림,Y,
200,Brimstone and Roses,1758,,,,
201,The Nuna at Our Office,3089,오피스 누나 이야기,"팔메이로,김자네 / 와삭바삭",N,755694
202,Madame Outlaw,2716,,,,
203,Back to You,2113,,,,
204,Lost in Translation,1882,,,,
205,The First Hunter,3040,,,,
206,"Mom, I'm Sorry",2049,맘마미안!,미티/구구,Y,
207,Viral Hit,2268,싸움독학,박태준 / 김정현,N,736277
208,No Scope,1572,하드캐리,조양,N,710761
209,Andy Bass,2284,,,,
210,Hooves of Death,1535,,,,
211,Raven Saga,2527,,,,
212,microHUNTER,2320,3cm 헌터,돌연변이,N,733458
213,Gul,2617,,,,
214,Little Rain,2612,,,,
215,TACIT,3178,,,,
216,Small World,1159,,,,
217,Four Leaf,1454,,,,
218,Ordeal,2729,,,,
219,See No Evil,2738,,,,
220,Athena Complex,867,,,,
221,Beyond Virtual,2504,,,,
222,Distant Sky,75,,,,
223,Trailer Park Warlock,1512,,,,
224,Thornstone,1612,,,,
226,Boyfriend of the Dead,1102,,,,
227,KILLMAX,1894,,,,
228,HEART Anthology,2191,,,,
229,Choco Latte,1691,,,,
230,Love Advice from the Great Duke of Hell,1498,,,,
231,Version Day and Night,1796,,,,
232,Third Shift Society,1703,,,,
233,#Blessed,1193,,,,
234,Midnight Poppy Land,1798,,,,
235,Men of the Harem,2443,하렘의 남자들,"알파타르트,히어리 / 영빈",N,760001
236,Like Wind on a Dry Branch,2405,,,,
237,She's Hopeless,2767,,,,
238,Doom Breaker,3197,,,,
239,Your Throne,2009,하루만 네가 되고 싶어,삼,N,738487
240,Sixth Sense Kiss,2921,,,,
241,The Strongest Florist,2507,,,,
242,His Majesty's Proposal,2674,,,,
243,Seasons of Blossom,2509,,,,
244,Winter Moon,1093,,,,
245,Return to Player,2574,,,,
246,Adventures of God,853,,,,
247,Death of a Pop Star,2273,,,,
248,Bluechair,199,,,,
249,Moonlight Beauty Parlor,3092,,,,
250,Devilish Romance,2529,,,,
251,How to Become a Dragon,1973,합격시켜주세용,이온,Y,
252,Murrz,1281,,,,
253,The Croaking,1494,,,,
254,The Ember Knight,2886,,,,
255,Lone,1929,,,,
256,Urban Animal,1483,,,,
258,Tales of Greed,2772,,,,
259,Bad Signs,1623,,,,
260,The Wendybird,2546,,,,
261,The Snake and the Flower,2619,,,,
262,Random Chat,1669,랜덤채팅의 그녀!,박은혁,N,702608
263,Shiloh,1649,,,,
264,Witch Creek Road,1453,,,,
265,Just Pancakes,1651,,,,
266,Dr. Frost,371,닥터 프로스트 시즌 3~4,이종범,N,655749
267,Locker & Opener,2515,,,,
268,Fluffy Boyfriend,1164,,,,
269,Ghost Bats,2348,,,,
270,Guardians of the Video Game,368,전자오락 수호대,가스파드,Y,
272,Illuminated,2813,,,,
273,Unlucky is as Lucky does,1554,,,,
274,Deor,1663,,,,
275,The Kiss Bet,1617,,,,
276,CinnamonRoll,2226,,,,
277,HEART Anthology,2191,,,,
278,#Killstagram,1971,살人스타그램,령,Y,
279,Uriah,1607,,,,
